wavelength,readnoise,dark_counts,sky_counts,thermal,target_counts,total_counts
14861.5000,0,5075,1.7719e+05,12956,8.3319e+06,8.5271e+06
14908.0000,0,5075,1.7719e+05,12956,8.358e+06,8.5532e+06
14954.5000,0,5075,1.7719e+05,12956,8.4175e+06,8.6128e+06
15001.0000,0,5075,1.7719e+05,12956,8.225e+06,8.4202e+06
15047.5000,0,5075,1.7719e+05,12956,7.7173e+06,7.9125e+06
15094.0000,0,5075,1.7719e+05,12956,7.9055e+06,8.1007e+06
15140.5000,0,5075,1.7719e+05,12956,7.9786e+06,8.1738e+06
15187.0000,0,5075,1.7719e+05,12956,7.887e+06,8.0822e+06
15233.5000,0,5075,1.7719e+05,12956,7.8059e+06,8.0011e+06
15280.0000,0,5075,1.7719e+05,12956,7.5792e+06,7.7744e+06
15326.5000,0,5075,1.7719e+05,12956,7.45e+06,7.6453e+06
15373.0000,0,5075,1.7719e+05,12956,7.5087e+06,7.7039e+06
15419.5000,0,5075,1.7719e+05,12956,7.3662e+06,7.5614e+06
15466.0000,0,5075,1.7719e+05,12956,7.2463e+06,7.4415e+06
15512.5000,0,5075,1.7719e+05,12956,7.2582e+06,7.4534e+06
15559.0000,0,5075,1.7719e+05,12956,7.1277e+06,7.323e+06
15605.5000,0,5075,1.7719e+05,12956,7.1824e+06,7.3777e+06
15652.0000,0,5075,1.7719e+05,12956,7.0921e+06,7.2873e+06
15698.5000,0,5075,1.7719e+05,12956,6.8698e+06,7.065e+06
15745.0000,0,5075,1.7719e+05,12956,7.1442e+06,7.3395e+06
15791.5000,0,5075,1.7719e+05,12956,6.9955e+06,7.1907e+06
15838.0000,0,5075,1.7719e+05,12956,6.9696e+06,7.1649e+06
15884.5000,0,5075,1.7719e+05,12956,6.5657e+06,6.7609e+06
15931.0000,0,5075,1.7719e+05,12956,6.7341e+06,6.9293e+06
15977.5000,0,5075,1.7719e+05,12956,6.8e+06,6.9952e+06
16024.0000,0,5075,1.7719e+05,12956,6.6384e+06,6.8336e+06
16070.5000,0,5075,1.7719e+05,12956,6.3522e+06,6.5474e+06
16117.0000,0,5075,1.7719e+05,12956,5.9997e+06,6.1949e+06
16163.5000,0,5075,1.7719e+05,12956,6.4027e+06,6.5979e+06
16210.0000,0,5075,1.7719e+05,12956,6.4653e+06,6.6605e+06
16256.5000,0,5075,1.7719e+05,12956,6.1984e+06,6.3936e+06
16303.0000,0,5075,1.7719e+05,12956,6.0993e+06,6.2945e+06
16349.5000,0,5075,1.7719e+05,12956,5.9689e+06,6.1641e+06
16396.0000,0,5075,1.7719e+05,12956,5.6103e+06,5.8055e+06
16442.5000,0,5075,1.7719e+05,12956,5.7536e+06,5.9488e+06
16489.0000,0,5075,1.7719e+05,12956,5.8325e+06,6.0277e+06
16535.5000,0,5075,1.7719e+05,12956,5.5939e+06,5.7891e+06
16582.0000,0,5075,1.7719e+05,12956,5.525e+06,5.7202e+06
16628.5000,0,5075,1.7719e+05,12956,5.1438e+06,5.339e+06
16675.0000,0,5075,1.7719e+05,12956,4.4794e+06,4.6747e+06
16721.5000,0,5075,1.7719e+05,12956,3.722e+06,3.9172e+06
16768.0000,0,5075,1.7719e+05,12956,3.1386e+06,3.3338e+06
16814.5000,0,5075,1.7719e+05,12956,2.2801e+06,2.4753e+06
16861.0000,0,5075,1.7719e+05,12956,1.9727e+06,2.168e+06
16907.5000,0,5075,1.7719e+05,12956,1.4989e+06,1.6942e+06
16954.0000,0,5075,1.7719e+05,12956,1.2276e+06,1.4228e+06
17000.5000,0,5075,1.7719e+05,12956,9.6753e+05,1.1627e+06
17047.0000,0,5075,1.7719e+05,12956,8.0119e+05,9.9641e+05
17093.5000,0,5075,1.7719e+05,12956,6.3934e+05,8.3456e+05
17140.0000,0,5075,1.7719e+05,12956,5.2948e+05,7.247e+05
17186.5000,0,5075,1.7719e+05,12956,4.2941e+05,6.2463e+05
