wavelength,readnoise,dark_counts,sky_counts,thermal,target_counts,total_counts
14257.0000,0,6488.4,2.2653e+05,16564,1.0952e+07,1.1202e+07
14303.5000,0,6488.4,2.2653e+05,16564,1.0925e+07,1.1175e+07
14350.0000,0,6488.4,2.2653e+05,16564,1.0971e+07,1.122e+07
14396.5000,0,6488.4,2.2653e+05,16564,1.0959e+07,1.1209e+07
14443.0000,0,6488.4,2.2653e+05,16564,1.0752e+07,1.1001e+07
14489.5000,0,6488.4,2.2653e+05,16564,1.0436e+07,1.0685e+07
14536.0000,0,6488.4,2.2653e+05,16564,1.0343e+07,1.0592e+07
14582.5000,0,6488.4,2.2653e+05,16564,1.0554e+07,1.0803e+07
14629.0000,0,6488.4,2.2653e+05,16564,1.062e+07,1.087e+07
14675.5000,0,6488.4,2.2653e+05,16564,1.0575e+07,1.0824e+07
14722.0000,0,6488.4,2.2653e+05,16564,1.059e+07,1.084e+07
14768.5000,0,6488.4,2.2653e+05,16564,1.0637e+07,1.0886e+07
14815.0000,0,6488.4,2.2653e+05,16564,1.0563e+07,1.0812e+07
14861.5000,0,6488.4,2.2653e+05,16564,1.01e+07,1.035e+07
14908.0000,0,6488.4,2.2653e+05,16564,1.0256e+07,1.0506e+07
14954.5000,0,6488.4,2.2653e+05,16564,1.0288e+07,1.0538e+07
15001.0000,0,6488.4,2.2653e+05,16564,1.0065e+07,1.0314e+07
15047.5000,0,6488.4,2.2653e+05,16564,9.4283e+06,9.6778e+06
15094.0000,0,6488.4,2.2653e+05,16564,9.9529e+06,1.0203e+07
15140.5000,0,6488.4,2.2653e+05,16564,9.918e+06,1.0168e+07
15187.0000,0,6488.4,2.2653e+05,16564,9.9216e+06,1.0171e+07
15233.5000,0,6488.4,2.2653e+05,16564,9.7661e+06,1.0016e+07
15280.0000,0,6488.4,2.2653e+05,16564,9.5317e+06,9.7813e+06
15326.5000,0,6488.4,2.2653e+05,16564,9.3816e+06,9.6312e+06
15373.0000,0,6488.4,2.2653e+05,16564,9.3619e+06,9.6115e+06
15419.5000,0,6488.4,2.2653e+05,16564,9.3005e+06,9.55e+06
15466.0000,0,6488.4,2.2653e+05,16564,9.2512e+06,9.5008e+06
15512.5000,0,6488.4,2.2653e+05,16564,9.1914e+06,9.441e+06
