wavelength,readnoise,dark_counts,sky_counts,thermal,target_counts,total_counts
14675.5000,0,1456.1,50840,3717.3,2.3935e+06,2.4495e+06
14722.0000,0,1456.1,50840,3717.3,2.3967e+06,2.4527e+06
14768.5000,0,1456.1,50840,3717.3,2.4142e+06,2.4702e+06
14815.0000,0,1456.1,50840,3717.3,2.4174e+06,2.4735e+06
14861.5000,0,1456.1,50840,3717.3,2.386e+06,2.4421e+06
14908.0000,0,1456.1,50840,3717.3,2.3583e+06,2.4143e+06
14954.5000,0,1456.1,50840,3717.3,2.3525e+06,2.4085e+06
15001.0000,0,1456.1,50840,3717.3,2.3461e+06,2.4021e+06
15047.5000,0,1456.1,50840,3717.3,2.3231e+06,2.3791e+06
15094.0000,0,1456.1,50840,3717.3,2.2979e+06,2.3539e+06
15140.5000,0,1456.1,50840,3717.3,2.295e+06,2.351e+06
15187.0000,0,1456.1,50840,3717.3,2.2987e+06,2.3547e+06
15233.5000,0,1456.1,50840,3717.3,2.2686e+06,2.3246e+06
15280.0000,0,1456.1,50840,3717.3,2.2184e+06,2.2744e+06
15326.5000,0,1456.1,50840,3717.3,2.1889e+06,2.2449e+06
15373.0000,0,1456.1,50840,3717.3,2.1831e+06,2.2391e+06
15419.5000,0,1456.1,50840,3717.3,2.1756e+06,2.2316e+06
15466.0000,0,1456.1,50840,3717.3,2.1655e+06,2.2215e+06
15512.5000,0,1456.1,50840,3717.3,2.1508e+06,2.2068e+06
15559.0000,0,1456.1,50840,3717.3,2.1206e+06,2.1766e+06
15605.5000,0,1456.1,50840,3717.3,2.0948e+06,2.1508e+06
15652.0000,0,1456.1,50840,3717.3,2.096e+06,2.152e+06
15698.5000,0,1456.1,50840,3717.3,2.1022e+06,2.1582e+06
15745.0000,0,1456.1,50840,3717.3,2.086e+06,2.142e+06
15791.5000,0,1456.1,50840,3717.3,2.1453e+06,2.2013e+06
15838.0000,0,1456.1,50840,3717.3,2.1323e+06,2.1883e+06
15884.5000,0,1456.1,50840,3717.3,2.0357e+06,2.0917e+06
15931.0000,0,1456.1,50840,3717.3,2.0717e+06,2.1277e+06
15977.5000,0,1456.1,50840,3717.3,2.0462e+06,2.1022e+06
16024.0000,0,1456.1,50840,3717.3,2.0371e+06,2.0931e+06
16070.5000,0,1456.1,50840,3717.3,2.0117e+06,2.0677e+06
16117.0000,0,1456.1,50840,3717.3,1.9725e+06,2.0285e+06
16163.5000,0,1456.1,50840,3717.3,1.9446e+06,2.0006e+06
16210.0000,0,1456.1,50840,3717.3,1.9143e+06,1.9703e+06
16256.5000,0,1456.1,50840,3717.3,1.9262e+06,1.9822e+06
16303.0000,0,1456.1,50840,3717.3,1.8859e+06,1.9419e+06
16349.5000,0,1456.1,50840,3717.3,1.8484e+06,1.9044e+06
16396.0000,0,1456.1,50840,3717.3,1.7811e+06,1.8371e+06
16442.5000,0,1456.1,50840,3717.3,1.8042e+06,1.8602e+06
16489.0000,0,1456.1,50840,3717.3,1.7965e+06,1.8525e+06
16535.5000,0,1456.1,50840,3717.3,1.7641e+06,1.8201e+06
16582.0000,0,1456.1,50840,3717.3,1.718e+06,1.774e+06
16628.5000,0,1456.1,50840,3717.3,1.5921e+06,1.6481e+06
16675.0000,0,1456.1,50840,3717.3,1.3987e+06,1.4547e+06
16721.5000,0,1456.1,50840,3717.3,1.2021e+06,1.2581e+06
16768.0000,0,1456.1,50840,3717.3,9.9609e+05,1.0521e+06
16814.5000,0,1456.1,50840,3717.3,8.0359e+05,8.596e+05
16861.0000,0,1456.1,50840,3717.3,6.3537e+05,6.9138e+05
16907.5000,0,1456.1,50840,3717.3,4.856e+05,5.4162e+05
16954.0000,0,1456.1,50840,3717.3,3.9216e+05,4.4817e+05
17000.5000,0,1456.1,50840,3717.3,3.1134e+05,3.6735e+05
17047.0000,0,1456.1,50840,3717.3,2.5612e+05,3.1214e+05
17093.5000,0,1456.1,50840,3717.3,2.0899e+05,2.65e+05
17140.0000,0,1456.1,50840,3717.3,1.7211e+05,2.2812e+05
17186.5000,0,1456.1,50840,3717.3,1.4009e+05,1.961e+05
